p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
BCL3	6.36711117576908e-158	0.281591919192018	0.295	0.13	1.11564522021826e-153	3	BCL3
RAB9A	6.56131405437375e-157	0.308486572268312	0.266	0.114	1.14967344860737e-152	3	RAB9A
H2AJ1	1.24266277129537e-156	0.289445987275489	0.461	0.257	2.17739370786375e-152	3	H2AJ
AHNAK1	3.42540434662073e-155	0.276841568513167	0.835	0.631	6.00199349614884e-151	3	AHNAK
TIPARP	1.14284909494794e-153	0.268871928950186	0.357	0.177	2.00250018416778e-149	3	TIPARP
ANKRD37	8.0789563696991e-148	0.270424527560664	0.258	0.11	1.41559473509868e-143	3	ANKRD37
KRT131	1.80857274618165e-146	0.591689475198561	0.69	0.62	3.16898116585948e-142	3	KRT13
TMEM165	6.39617913876754e-144	0.26371498427203	0.434	0.24	1.12073850869485e-139	3	TMEM165
SERBP11	7.21509891736697e-142	0.274162326229102	0.797	0.671	1.26422963230104e-137	3	SERBP1
TPM4	4.6335538403086e-139	0.436690007089158	0.744	0.569	8.11891303898873e-135	3	TPM4
MDM2	8.00798777730636e-136	0.289901151329027	0.333	0.165	1.40315961833962e-131	3	MDM2
ATP6V1G1	4.04479892985545e-135	0.304784744751081	0.761	0.566	7.08729668489272e-131	3	ATP6V1G1
IFI61	5.32045770258946e-133	0.589066760254996	0.438	0.265	9.32250598647725e-129	3	IFI6
LMO41	4.74799373355219e-130	0.256690319391807	0.389	0.215	8.31943461993015e-126	3	LMO4
PLSCR11	3.34557110699046e-124	0.264932674971732	0.398	0.22	5.86210969366869e-120	3	PLSCR1
CXCL1	2.19679620099796e-121	0.270386349973695	0.271	0.123	3.84922630338863e-117	3	CXCL1
MT-CYB1	5.51592951334132e-121	0.30006510574909	0.983	0.987	9.66501169327666e-117	3	MT-CYB
H1-21	5.87217352951005e-119	0.522681323296143	0.382	0.214	1.02892224584075e-114	3	H1-2
PIM3	2.74180011319004e-114	0.325897160915796	0.401	0.23	4.80418215833159e-110	3	PIM3
KRT101	1.50475116324218e-113	0.257144229069912	0.615	0.408	2.63662498823294e-109	3	KRT10
SKIL	1.92804252886614e-113	0.333241134094458	0.432	0.266	3.37831611907926e-109	3	SKIL
CALR	1.12094237466603e-109	0.253376212220755	0.792	0.658	1.96411522888981e-105	3	CALR
KRT141	1.69065966163757e-109	0.915569862779411	0.285	0.153	2.96237385912135e-105	3	KRT14
S100A92	9.39114746335316e-108	0.782673485823539	0.794	0.753	1.64551685852874e-103	3	S100A9
GPX4	2.43850080097365e-99	0.304454909044704	0.7	0.582	4.27274110346603e-95	3	GPX4
RAB11FIP11	5.33512319481392e-93	0.427802857062256	0.408	0.268	9.34820286195295e-89	3	RAB11FIP1
EGR11	1.03429762321646e-89	0.313316596163609	0.436	0.276	1.81229629539988e-85	3	EGR1
MX11	3.41291404004397e-89	0.265391844752549	0.349	0.205	5.98010798096504e-85	3	MX1
BST21	5.77585427426196e-88	0.254459258244866	0.653	0.498	1.01204518593618e-83	3	BST2
RPLP01	1.63433114433767e-84	0.266579985208127	0.882	0.951	2.86367503110847e-80	3	RPLP0
UBC	3.87684543026101e-82	0.322264799859882	0.981	0.96	6.79300856290334e-78	3	UBC
MYADM	1.19616996320449e-80	0.597352367923734	0.358	0.242	2.09592900952692e-76	3	MYADM
IER5	2.48299146555898e-80	0.262045481006458	0.429	0.284	4.35069764595245e-76	3	IER5
BZW1	9.22335101438432e-77	0.328494252160263	0.541	0.383	1.61611556474042e-72	3	BZW1
MXD11	8.04583263065165e-74	0.629056119899682	0.336	0.216	1.40979079354278e-69	3	MXD1
SAMD9	1.66166909307406e-62	0.656711224055727	0.338	0.232	2.91157658488437e-58	3	SAMD9
ISG15	3.23277782830539e-58	1.08890885852272	0.447	0.356	5.6644733107567e-54	3	ISG15
MAP1LC3B1	1.63088213934041e-55	0.268482233942484	0.536	0.403	2.85763168455226e-51	3	MAP1LC3B
PIK3IP11	9.10948281210617e-43	0.25440608788147	0.255	0.168	1.59616357833724e-38	3	PIK3IP1
PPP1R15A1	1.61364653829443e-41	0.49249865868829	0.615	0.589	2.8274314643995e-37	3	PPP1R15A
FABP51	1.24541047396769e-37	0.314545445884158	0.635	0.634	2.18220823248619e-33	3	FABP5
S100A82	2.13649276917169e-35	0.626015289707351	0.677	0.673	3.74356263014263e-31	3	S100A8
FOSB	0.0086090859876626	0.253202461758109	0.577	0.658	1	3	FOSB
LYZ	0	3.22261986738276	0.943	0.096	0	4	LYZ
APOC1	0	3.20924732275319	0.6	0.062	0	4	APOC1
APOE	0	3.17462656708691	0.596	0.1	0	4	APOE
SPP1	0	2.91399671743022	0.481	0.1	0	4	SPP1
C1QB	0	2.63593366081989	0.707	0.031	0	4	C1QB
C1QA	0	2.57267246856562	0.716	0.032	0	4	C1QA
HLA-DRA	0	2.51955628324907	0.995	0.495	0	4	HLA-DRA
FTL1	0	2.35216691418163	0.999	0.975	0	4	FTL
HLA-DPB1	0	2.24631817000657	0.95	0.318	0	4	HLA-DPB1
HLA-DPA1	0	2.20403958411486	0.95	0.292	0	4	HLA-DPA1
FN1	0	2.17432624444931	0.49	0.093	0	4	FN1
HLA-DRB1	0	2.15275669160667	0.975	0.432	0	4	HLA-DRB1
CD74	0	2.11971297445477	0.996	0.66	0	4	CD74
C1QC	0	2.1057176267699	0.677	0.013	0	4	C1QC
PSAP	0	1.97622077965667	0.939	0.413	0	4	PSAP
HLA-DQB1	0	1.91254532245375	0.889	0.21	0	4	HLA-DQB1
CTSZ	0	1.90519022009489	0.903	0.172	0	4	CTSZ
CTSB	0	1.89559062475923	0.883	0.493	0	4	CTSB
CXCL9	0	1.8426809279242	0.393	0.015	0	4	CXCL9
HLA-DQA1	0	1.77690640588696	0.849	0.177	0	4	HLA-DQA1
CST3	0	1.73176573874873	0.98	0.503	0	4	CST3
AIF11	0	1.67267735931212	0.922	0.134	0	4	AIF1
CTSS1	0	1.57066662632312	0.941	0.31	0	4	CTSS
TYROBP1	0	1.54695821611352	0.946	0.241	0	4	TYROBP
GPNMB	0	1.50693682643444	0.54	0.09	0	4	GPNMB
CD68	0	1.48999046431501	0.797	0.049	0	4	CD68
CTSD	0	1.47419035831952	0.79	0.579	0	4	CTSD
CXCL10	0	1.4472973808548	0.268	0.017	0	4	CXCL10
FCER1G1	0	1.41963824117938	0.918	0.181	0	4	FCER1G
CD141	0	1.41888420666752	0.75	0.07	0	4	CD14
CYBB	0	1.40445711676047	0.832	0.048	0	4	CYBB
FBP1	0	1.39335487469784	0.555	0.043	0	4	FBP1
CCL3	0	1.37680353451146	0.605	0.128	0	4	CCL3
MS4A6A	0	1.36665056778749	0.757	0.021	0	4	MS4A6A
GRN	0	1.35234618712787	0.894	0.242	0	4	GRN
CCL18	0	1.3439998614503	0.257	0.007	0	4	CCL18
FCGR3A	0	1.3273310525235	0.643	0.043	0	4	FCGR3A
RNASE1	0	1.32414324422849	0.442	0.031	0	4	RNASE1
CTSL	0	1.31374164179648	0.576	0.083	0	4	CTSL
IL1B1	0	1.30615758803208	0.455	0.081	0	4	IL1B
CPVL	0	1.16454801645591	0.69	0.015	0	4	CPVL
LAPTM51	0	1.15760427759541	0.91	0.354	0	4	LAPTM5
FGL21	0	1.15500006498146	0.795	0.091	0	4	FGL2
HLA-DQA2	0	1.13549306337479	0.601	0.093	0	4	HLA-DQA2
MARCO	0	1.12820051139228	0.395	0.005	0	4	MARCO
ITGB2	0	1.1159589334489	0.886	0.252	0	4	ITGB2
TYMP1	0	1.11487584874018	0.933	0.438	0	4	TYMP
NPC21	0	1.09942571229213	0.882	0.32	0	4	NPC2
HLA-DMA	0	1.0810887596046	0.817	0.201	0	4	HLA-DMA
LGMN	0	1.08082749984977	0.473	0.066	0	4	LGMN
GPR183	0	1.07684656178285	0.562	0.169	0	4	GPR183
MSR1	0	1.07541875243395	0.532	0.004	0	4	MSR1
CD163	0	1.06719565235035	0.556	0.006	0	4	CD163
TGFBI	0	1.05710358097565	0.678	0.045	0	4	TGFBI
ACP5	0	1.03343910320222	0.55	0.084	0	4	ACP5
CCL3L1	0	1.03189519637933	0.393	0.085	0	4	CCL3L1
MS4A7	0	1.02513039204084	0.628	0.006	0	4	MS4A7
LGALS1	0	1.00099583515994	0.926	0.489	0	4	LGALS1
SGK1	0	1.00085810676581	0.673	0.198	0	4	SGK1
TMSB10	0	0.989223485441662	1	0.976	0	4	TMSB10
TMEM176B	0	0.979713462458299	0.702	0.125	0	4	TMEM176B
SAMHD1	0	0.978038063740591	0.836	0.202	0	4	SAMHD1
CCDC88A	0	0.970717736157717	0.748	0.086	0	4	CCDC88A
CXCL2	0	0.967968001962912	0.401	0.033	0	4	CXCL2
MRC1	0	0.946153444903215	0.47	0.004	0	4	MRC1
CAPG	0	0.94527429986466	0.792	0.284	0	4	CAPG
CTSH1	0	0.938387219445088	0.793	0.165	0	4	CTSH
LIPA	0	0.930818347795531	0.513	0.054	0	4	LIPA
FCGRT	0	0.915154068576929	0.777	0.196	0	4	FCGRT
HLA-DMB	0	0.911123899680103	0.715	0.086	0	4	HLA-DMB
CTSC	0	0.908308827336418	0.762	0.35	0	4	CTSC
OLR1	0	0.906906272237124	0.529	0.017	0	4	OLR1
CD83	0	0.892682027729071	0.598	0.094	0	4	CD83
MARCKS1	0	0.890720823790148	0.721	0.292	0	4	MARCKS
CSF1R	0	0.889439089186381	0.619	0.007	0	4	CSF1R
VIM	0	0.88711700509152	0.995	0.796	0	4	VIM
LILRB4	0	0.886368088162313	0.53	0.008	0	4	LILRB4
MMP9	0	0.886256133130473	0.339	0.016	0	4	MMP9
IGSF61	0	0.881056846277871	0.731	0.104	0	4	IGSF6
PLD3	0	0.87259306500532	0.512	0.107	0	4	PLD3
LAP3	0	0.865349744511944	0.711	0.15	0	4	LAP3
ANXA5	0	0.857681220855677	0.875	0.354	0	4	ANXA5
SPI11	0	0.857314205641084	0.764	0.08	0	4	SPI1
PLEK1	0	0.846857833210701	0.762	0.187	0	4	PLEK
YWHAH	0	0.844879861600115	0.693	0.219	0	4	YWHAH
IER31	0	0.843912986594701	0.639	0.304	0	4	IER3
FCN1	0	0.832940951681175	0.287	0.014	0	4	FCN1
ZEB2	0	0.830143634080728	0.724	0.165	0	4	ZEB2
MAFB1	0	0.816344852440744	0.599	0.108	0	4	MAFB
PLXDC2	0	0.802547169132172	0.653	0.048	0	4	PLXDC2
DAB2	0	0.801773353674501	0.545	0.048	0	4	DAB2
LST11	0	0.797051465290114	0.771	0.156	0	4	LST1
PLEKHO1	0	0.794550095656007	0.71	0.143	0	4	PLEKHO1
KCTD12	0	0.790778747219228	0.652	0.042	0	4	KCTD12
BRI31	0	0.787151808786303	0.873	0.392	0	4	BRI3
FCGR2A1	0	0.7852391251018	0.676	0.105	0	4	FCGR2A
ATOX1	0	0.779412591257107	0.692	0.247	0	4	ATOX1
LGALS2	0	0.771792370916498	0.379	0.003	0	4	LGALS2
CREG1	0	0.769275105898461	0.592	0.111	0	4	CREG1
CXCL3	0	0.764656386908431	0.283	0.03	0	4	CXCL3
GSN	0	0.760775204876068	0.7	0.196	0	4	GSN
RASSF4	0	0.759050253745951	0.582	0.018	0	4	RASSF4
STAT1	0	0.759048840346281	0.626	0.263	0	4	STAT1
FCGR2B	0	0.756713921038715	0.564	0.04	0	4	FCGR2B
ACTB1	0	0.752011160060952	0.999	0.954	0	4	ACTB
COTL1	0	0.740090241745979	0.811	0.315	0	4	COTL1
TNFSF13B1	0	0.736987309169388	0.64	0.087	0	4	TNFSF13B
GRB2	0	0.736966732985201	0.796	0.283	0	4	GRB2
FPR3	0	0.72978640799909	0.527	0.004	0	4	FPR3
CD4	0	0.72801903371673	0.649	0.066	0	4	CD4
PPT1	0	0.724263109706612	0.687	0.116	0	4	PPT1
RNF130	0	0.722372865897423	0.691	0.115	0	4	RNF130
IFI30	0	0.721429529398305	0.519	0.027	0	4	IFI30
TIMP2	0	0.720041645632958	0.653	0.106	0	4	TIMP2
PLIN2	0	0.718884423136562	0.454	0.133	0	4	PLIN2
ARHGAP18	0	0.716992690402687	0.639	0.153	0	4	ARHGAP18
ABCA1	0	0.711143922484242	0.528	0.085	0	4	ABCA1
GM2A	0	0.702258274177679	0.524	0.09	0	4	GM2A
ASAH11	0	0.701898702357975	0.7	0.264	0	4	ASAH1
SERPINA11	0	0.697987877935989	0.711	0.188	0	4	SERPINA1
ADAMDEC1	0	0.692391099773965	0.336	0.005	0	4	ADAMDEC1
HMOX1	0	0.684486647178481	0.44	0.029	0	4	HMOX1
ARPC1B	0	0.680336911824323	0.866	0.452	0	4	ARPC1B
SLCO2B1	0	0.679932647112289	0.45	0.011	0	4	SLCO2B1
C1orf162	0	0.678048137189839	0.584	0.061	0	4	C1orf162
IL4I1	0	0.675487992367632	0.426	0.029	0	4	IL4I1
PLAUR1	0	0.674942364638972	0.678	0.179	0	4	PLAUR
ALDH2	0	0.671383149949833	0.642	0.123	0	4	ALDH2
SNX101	0	0.670490004364022	0.59	0.118	0	4	SNX10
TREM2	0	0.670221319423437	0.403	0.002	0	4	TREM2
TUBA1B1	0	0.668815229491463	0.797	0.457	0	4	TUBA1B
MARCHF1	0	0.667503354987774	0.571	0.011	0	4	MARCHF1
GLUL1	0	0.667441718792923	0.721	0.345	0	4	GLUL
TPP1	0	0.667325391814381	0.657	0.111	0	4	TPP1
SLC8A1	0	0.657803642422354	0.572	0.017	0	4	SLC8A1
CLEC7A1	0	0.651077788335108	0.652	0.079	0	4	CLEC7A
APLP21	0	0.648080137402704	0.711	0.288	0	4	APLP2
MPEG1	0	0.643782953801424	0.484	0.017	0	4	MPEG1
GNAI2	0	0.643385946395743	0.853	0.408	0	4	GNAI2
TMEM176A	0	0.640331694385152	0.557	0.109	0	4	TMEM176A
LIMS1	0	0.634637145094341	0.711	0.233	0	4	LIMS1
NR4A21	0	0.634359389573434	0.586	0.276	0	4	NR4A2
MFSD1	0	0.629894835303514	0.576	0.071	0	4	MFSD1
LRP1	0	0.625163492018035	0.533	0.081	0	4	LRP1
PLTP	0	0.624084995565969	0.36	0.039	0	4	PLTP
RNASET21	0	0.622950863111887	0.797	0.324	0	4	RNASET2
CD86	0	0.622065471526891	0.543	0.007	0	4	CD86
SERPING1	0	0.619280430106345	0.448	0.124	0	4	SERPING1
MS4A4A	0	0.618743064129536	0.442	0.004	0	4	MS4A4A
ATF32	0	0.617875118509433	0.548	0.216	0	4	ATF3
LAIR1	0	0.615812838837993	0.524	0.036	0	4	LAIR1
ATF5	0	0.61381608414424	0.464	0.061	0	4	ATF5
PLA2G7	0	0.612715680825562	0.369	0.003	0	4	PLA2G7
A2M	0	0.612008955994738	0.486	0.056	0	4	A2M
RGS10	0	0.605698916205032	0.715	0.276	0	4	RGS10
ADA2	0	0.604970995762309	0.563	0.051	0	4	ADA2
LGALS9	0	0.604936172210505	0.6	0.107	0	4	LGALS9
AP1S2	0	0.603282066353012	0.568	0.108	0	4	AP1S2
FTH11	0	0.602079372014157	1	0.964	0	4	FTH1
GSTO1	0	0.596500775002599	0.698	0.268	0	4	GSTO1
FCGR1A	0	0.596130456983994	0.474	0.02	0	4	FCGR1A
ATP6V1F	0	0.595017831162245	0.751	0.359	0	4	ATP6V1F
SDC3	0	0.594591194609963	0.327	0.017	0	4	SDC3
RAB32	0	0.5897431845137	0.545	0.06	0	4	RAB32
VAMP81	0	0.589159098389423	0.835	0.452	0	4	VAMP8
HBEGF	0	0.57718438672256	0.362	0.065	0	4	HBEGF
MNDA1	0	0.577177782578753	0.743	0.135	0	4	MNDA
TMSB4X1	0	0.57404072002483	1	0.971	0	4	TMSB4X
SDCBP1	0	0.574016884969255	0.741	0.304	0	4	SDCBP
NCF21	0	0.57399048099887	0.61	0.098	0	4	NCF2
NR4A3	0	0.573757353844014	0.327	0.065	0	4	NR4A3
HNMT	0	0.573753230349476	0.497	0.036	0	4	HNMT
GNS	0	0.573170739599537	0.54	0.085	0	4	GNS
CD81	0	0.57262250183262	0.805	0.562	0	4	CD81
YBX11	0	0.572138672520836	0.967	0.797	0	4	YBX1
OTUD1	0	0.570409286086855	0.364	0.059	0	4	OTUD1
CALHM6	0	0.56977753412087	0.459	0.029	0	4	CALHM6
ADAP2	0	0.567981137324451	0.474	0.006	0	4	ADAP2
QKI	0	0.561077687865107	0.674	0.196	0	4	QKI
SLC15A3	0	0.560412869270641	0.491	0.038	0	4	SLC15A3
LHFPL2	0	0.556251038929246	0.381	0.013	0	4	LHFPL2
SCARB2	0	0.556205717688763	0.503	0.124	0	4	SCARB2
C2	0	0.553218577628973	0.353	0.029	0	4	C2
LTA4H	0	0.5530871886735	0.477	0.097	0	4	LTA4H
CD84	0	0.552673476072558	0.544	0.126	0	4	CD84
EMILIN2	0	0.549576748181599	0.524	0.028	0	4	EMILIN2
CD63	0	0.549444810755897	0.935	0.784	0	4	CD63
PRDX12	0	0.545305774238611	0.835	0.639	0	4	PRDX1
DMXL2	0	0.544988886219484	0.469	0.037	0	4	DMXL2
OAZ11	0	0.53958652734295	0.988	0.93	0	4	OAZ1
IRF8	0	0.538512789804299	0.433	0.033	0	4	IRF8
VSIG4	0	0.538386655144536	0.342	0.002	0	4	VSIG4
BMP2K	0	0.537744007944975	0.492	0.064	0	4	BMP2K
PYCARD	0	0.531723187225727	0.699	0.294	0	4	PYCARD
C5AR11	0	0.527909307062051	0.446	0.082	0	4	C5AR1
TFEC	0	0.526843684259683	0.484	0.014	0	4	TFEC
GBP11	0	0.526091826828593	0.487	0.187	0	4	GBP1
CLEC10A	0	0.525097423025854	0.307	0.002	0	4	CLEC10A
SIRPA	0	0.522670651313391	0.522	0.039	0	4	SIRPA
VAMP5	0	0.522516162857817	0.516	0.202	0	4	VAMP5
HEXB	0	0.517813500629283	0.51	0.093	0	4	HEXB
PEA15	0	0.517637978507943	0.524	0.089	0	4	PEA15
ICAM11	0	0.514529870970795	0.48	0.094	0	4	ICAM1
KLF42	0	0.513868726640345	0.46	0.135	0	4	KLF4
SLAMF8	0	0.513077767788692	0.449	0.009	0	4	SLAMF8
ALCAM	0	0.511733245332296	0.461	0.065	0	4	ALCAM
CYBA	0	0.510058519170324	0.986	0.861	0	4	CYBA
AP2S11	0	0.507228189228023	0.735	0.335	0	4	AP2S1
STAB1	0	0.505362723218255	0.364	0.014	0	4	STAB1
MACROH2A11	0	0.504540294116736	0.708	0.287	0	4	MACROH2A1
DSE	0	0.502385220272678	0.506	0.091	0	4	DSE
ACTR2	0	0.50093099911665	0.825	0.439	0	4	ACTR2
NRP1	0	0.49929383626252	0.402	0.035	0	4	NRP1
ATP6V0B1	0	0.4983793946452	0.789	0.403	0	4	ATP6V0B
CXCL16	0	0.49734372577143	0.527	0.103	0	4	CXCL16
SLC7A7	0	0.496975297799871	0.452	0.006	0	4	SLC7A7
SNX3	0	0.495345426058316	0.692	0.32	0	4	SNX3
C15orf482	0	0.494650763437459	0.699	0.187	0	4	C15orf48
C3AR1	0	0.492626071543134	0.461	0.042	0	4	C3AR1
EPB41L3	0	0.487906067749879	0.442	0.009	0	4	EPB41L3
SH3BGRL	0	0.485809159426903	0.709	0.277	0	4	SH3BGRL
RAB31	0	0.484626329433131	0.578	0.111	0	4	RAB31
SLC16A3	0	0.484024334188032	0.575	0.151	0	4	SLC16A3
OGFRL1	0	0.481569276528964	0.52	0.105	0	4	OGFRL1
DPYSL2	0	0.479800474685325	0.516	0.078	0	4	DPYSL2
SPRED1	0	0.47653601494258	0.357	0.033	0	4	SPRED1
NR1H3	0	0.476497549558887	0.315	0.011	0	4	NR1H3
LILRB1	0	0.475997512424022	0.435	0.015	0	4	LILRB1
RNASE6	0	0.474912327629495	0.446	0.02	0	4	RNASE6
NCKAP1L	0	0.47242021592097	0.564	0.116	0	4	NCKAP1L
CTSA	0	0.471613258359994	0.54	0.163	0	4	CTSA
ARPC51	0	0.467828403838269	0.897	0.581	0	4	ARPC5
M6PR	0	0.467677865911204	0.618	0.191	0	4	M6PR
LILRB2	0	0.46751929414306	0.418	0.032	0	4	LILRB2
SCPEP11	0	0.466868064443541	0.498	0.158	0	4	SCPEP1
PTGER4	0	0.46635238256811	0.488	0.156	0	4	PTGER4
FUCA1	0	0.466225604671936	0.288	0.069	0	4	FUCA1
SLC11A11	0	0.466201124398181	0.4	0.057	0	4	SLC11A1
WARS1	0	0.464342063926955	0.417	0.083	0	4	WARS1
ME2	0	0.462990259539281	0.442	0.113	0	4	ME2
LCP12	0	0.461222470394181	0.86	0.442	0	4	LCP1
C1orf54	0	0.458996520722765	0.355	0.019	0	4	C1orf54
CPM	0	0.458736494748558	0.373	0.025	0	4	CPM
RHOA1	0	0.457132456157899	0.878	0.594	0	4	RHOA
SYNGR2	0	0.455407192416183	0.543	0.173	0	4	SYNGR2
GRINA	0	0.454748123237516	0.508	0.097	0	4	GRINA
HEXA	0	0.450634691939252	0.455	0.094	0	4	HEXA
PTAFR	0	0.450604523678999	0.475	0.065	0	4	PTAFR
MGAT1	0	0.450572486837963	0.555	0.151	0	4	MGAT1
ATP6V1B2	0	0.450043701083836	0.517	0.09	0	4	ATP6V1B2
HAVCR2	0	0.448405562570321	0.467	0.059	0	4	HAVCR2
CYFIP1	0	0.448150111454298	0.481	0.088	0	4	CYFIP1
PTPRE1	0	0.447859836780716	0.525	0.163	0	4	PTPRE
SCD	0	0.447564385854206	0.319	0.042	0	4	SCD
EPSTI1	0	0.445919264196316	0.53	0.19	0	4	EPSTI1
NAIP	0	0.445846725350096	0.459	0.057	0	4	NAIP
RASGEF1B	0	0.443479236069528	0.452	0.115	0	4	RASGEF1B
SERF2	0	0.443119029637789	0.997	0.975	0	4	SERF2
ZFAND51	0	0.440966612174357	0.61	0.277	0	4	ZFAND5
CIITA	0	0.439237165143439	0.427	0.045	0	4	CIITA
LACTB	0	0.439139199659468	0.506	0.088	0	4	LACTB
ATP6AP2	0	0.435704170331499	0.622	0.266	0	4	ATP6AP2
SMCO4	0	0.43341326072112	0.46	0.049	0	4	SMCO4
PLXNC1	0	0.433212852915807	0.493	0.072	0	4	PLXNC1
SHTN1	0	0.43280566933078	0.447	0.057	0	4	SHTN1
CEBPA	0	0.432251364174973	0.367	0.027	0	4	CEBPA
VEGFA	0	0.43105808071706	0.3	0.088	0	4	VEGFA
FMNL2	0	0.430251033022968	0.368	0.025	0	4	FMNL2
TTYH3	0	0.42977637923761	0.398	0.034	0	4	TTYH3
PLBD1	0	0.427235482055082	0.467	0.068	0	4	PLBD1
NPL	0	0.426202919712552	0.366	0.027	0	4	NPL
ALOX5	0	0.422448832945713	0.47	0.054	0	4	ALOX5
HCK1	0	0.420335140769521	0.494	0.052	0	4	HCK
NINJ11	0	0.419591001312739	0.484	0.144	0	4	NINJ1
IL182	0	0.418541939643625	0.461	0.133	0	4	IL18
AXL	0	0.418426384756263	0.352	0.019	0	4	AXL
NAGK	0	0.416627375186602	0.524	0.152	0	4	NAGK
MPP1	0	0.414497948544522	0.398	0.037	0	4	MPP1
BCL2A11	0	0.414111621061207	0.601	0.195	0	4	BCL2A1
AKR1A1	0	0.41381763456641	0.563	0.217	0	4	AKR1A1
PAK1	0	0.411920544981483	0.456	0.088	0	4	PAK1
TNS3	0	0.411753270714884	0.384	0.069	0	4	TNS3
DNASE2	0	0.411335968160531	0.387	0.089	0	4	DNASE2
PILRA	0	0.410666936788541	0.444	0.048	0	4	PILRA
AP1B1	0	0.409390443414487	0.416	0.072	0	4	AP1B1
CORO1C	0	0.407514854789108	0.457	0.063	0	4	CORO1C
IFNGR2	0	0.407307683070609	0.528	0.136	0	4	IFNGR2
ITPR2	0	0.403544850318353	0.482	0.136	0	4	ITPR2
POMP	0	0.403216631839391	0.743	0.445	0	4	POMP
MOB1A	0	0.403109964212922	0.71	0.319	0	4	MOB1A
SNX2	0	0.402606171243752	0.521	0.145	0	4	SNX2
THEMIS2	0	0.402123423699085	0.476	0.067	0	4	THEMIS2
GNB4	0	0.401628090156671	0.451	0.069	0	4	GNB4
PGK1	0	0.401567829033722	0.719	0.409	0	4	PGK1
EFHD21	0	0.401416216836213	0.74	0.338	0	4	EFHD2
ARPC31	0	0.400967205296492	0.945	0.812	0	4	ARPC3
MMP14	0	0.400900237047513	0.369	0.057	0	4	MMP14
ITGAM	0	0.395481178828938	0.393	0.034	0	4	ITGAM
PIK3AP1	0	0.394037200277111	0.447	0.067	0	4	PIK3AP1
SOAT1	0	0.393894432412572	0.399	0.066	0	4	SOAT1
ATP6AP1	0	0.393861514481196	0.496	0.131	0	4	ATP6AP1
ATP6V0D1	0	0.391991187228784	0.539	0.17	0	4	ATP6V0D1
S100A102	0	0.39021738665701	0.953	0.83	0	4	S100A10
GDI2	0	0.389925238855053	0.617	0.271	0	4	GDI2
CFL11	0	0.386949853100048	0.978	0.878	0	4	CFL1
METRNL	0	0.385505230657611	0.501	0.179	0	4	METRNL
EGR2	0	0.385403611373335	0.283	0.05	0	4	EGR2
FCHO2	0	0.384573168815925	0.379	0.074	0	4	FCHO2
FERMT3	0	0.382088557726156	0.531	0.146	0	4	FERMT3
DBI1	0	0.381734058060541	0.824	0.573	0	4	DBI
SYK	0	0.381205087116868	0.461	0.067	0	4	SYK
PLXND1	0	0.379971013106387	0.396	0.048	0	4	PLXND1
BCAT1	0	0.375608293241869	0.322	0.015	0	4	BCAT1
DRAM1	0	0.37512102377473	0.333	0.042	0	4	DRAM1
SKAP21	0	0.375083928186388	0.558	0.158	0	4	SKAP2
TSPAN4	0	0.374812184734906	0.356	0.059	0	4	TSPAN4
UCP2	0	0.373369805494693	0.499	0.154	0	4	UCP2
TLR4	0	0.371499907588516	0.396	0.041	0	4	TLR4
IFNGR1	0	0.371166376467524	0.513	0.208	0	4	IFNGR1
SERPINB9	0	0.370126847345613	0.35	0.114	0	4	SERPINB9
MEF2C	0	0.368957882467698	0.398	0.062	0	4	MEF2C
LY86	0	0.367658312145178	0.364	0.007	0	4	LY86
HLA-DOA	0	0.367074943796398	0.353	0.026	0	4	HLA-DOA
GAA	0	0.366919514512322	0.394	0.063	0	4	GAA
GABARAP	0	0.365986501261852	0.528	0.173	0	4	GABARAP
LYN1	0	0.365283167332302	0.579	0.167	0	4	LYN
SLAMF7	0	0.365138311106836	0.345	0.111	0	4	SLAMF7
GLIPR1	0	0.360957158096012	0.547	0.194	0	4	GLIPR1
DPYD	0	0.359319464403588	0.436	0.099	0	4	DPYD
NRP2	0	0.358949120629538	0.331	0.075	0	4	NRP2
PFN11	0	0.35608632081808	0.976	0.878	0	4	PFN1
CLEC5A	0	0.355864688125772	0.265	0.007	0	4	CLEC5A
UPP1	0	0.354656931279537	0.428	0.138	0	4	UPP1
RAC12	0	0.3544309760802	0.873	0.609	0	4	RAC1
SIGLEC1	0	0.353665138937045	0.289	0.002	0	4	SIGLEC1
PPIF	0	0.351916459504054	0.405	0.134	0	4	PPIF
CAP11	0	0.350757397969112	0.746	0.393	0	4	CAP1
RBPJ	0	0.349996630287319	0.581	0.226	0	4	RBPJ
CD531	0	0.348684297167051	0.694	0.303	0	4	CD53
ZNF385A	0	0.347845465232224	0.392	0.05	0	4	ZNF385A
CEP170	0	0.34742250774278	0.42	0.079	0	4	CEP170
RHOG	0	0.347152663400544	0.548	0.177	0	4	RHOG
ATP5F1E	0	0.346275516471794	0.997	0.964	0	4	ATP5F1E
NCOA4	0	0.344891382259948	0.528	0.182	0	4	NCOA4
CFD	0	0.344651203110967	0.377	0.108	0	4	CFD
FNIP2	0	0.344630341670587	0.311	0.035	0	4	FNIP2
PLAU	0	0.342687047066591	0.33	0.072	0	4	PLAU
ZYX	0	0.342669867167275	0.512	0.168	0	4	ZYX
ITGAX1	0	0.341273440888075	0.427	0.07	0	4	ITGAX
ACP2	0	0.340573885406699	0.312	0.036	0	4	ACP2
